,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,montorio al vomano,90.0,IT,1545594900,93.0,42.58,13.64,51.8,3.36
1,albany,90.0,US,1545594960,55.0,42.65,-73.75,33.98,8.05
2,puerto ayora,40.0,EC,1545595200,62.0,-0.74,-90.35,86.0,17.22
3,contamana,24.0,PE,1545597956,52.0,-7.35,-75.01,88.53,6.29
4,rikitea,64.0,PF,1545597956,98.0,-23.12,-134.97,78.85,19.93
5,alamosa,1.0,US,1545597300,25.0,37.47,-105.87,30.56,6.93
6,hermanus,0.0,ZA,1545597956,98.0,-34.42,19.24,58.11,2.71
7,arraial do cabo,0.0,BR,1545595200,78.0,-22.97,-42.02,84.2,11.41
8,rawson,0.0,AR,1545597956,21.0,-43.3,-65.11,90.01,8.75
9,sao miguel do araguaia,36.0,BR,1545597956,65.0,-13.28,-50.16,86.28,4.05
10,katherine,90.0,AU,1545595200,74.0,-14.47,132.26,82.4,1.12
11,ribeira grande,75.0,PT,1545595200,76.0,38.52,-28.7,57.2,3.36
12,wajima,36.0,JP,1545597957,100.0,37.4,136.9,43.44,17.4
13,cape town,0.0,ZA,1545595200,82.0,-33.93,18.42,68.0,12.75
14,atuona,92.0,PF,1545597957,100.0,-9.8,-139.03,81.06,18.07
15,hobart,0.0,AU,1545597000,55.0,-42.88,147.33,60.8,17.22
16,chokurdakh,68.0,RU,1545597957,54.0,70.62,147.9,-31.4,3.2
17,naryan-mar,12.0,RU,1545597958,78.0,67.67,53.09,-0.49,18.63
18,airai,88.0,TL,1545597958,96.0,-8.93,125.41,70.75,1.59
19,sistranda,75.0,NO,1545596400,100.0,63.73,8.83,32.0,5.82
20,ushuaia,90.0,AR,1545595200,87.0,-54.81,-68.31,48.2,9.17
21,praia,40.0,BR,1545595200,83.0,-20.25,-43.81,73.4,2.24
22,kapaa,20.0,US,1545594960,73.0,22.08,-159.32,80.06,17.22
23,castro,40.0,CL,1545595200,60.0,-42.48,-73.76,68.0,10.29
25,fortuna,0.0,ES,1545595200,87.0,38.18,-1.13,50.0,3.36
26,beaupre,20.0,CA,1545595200,67.0,47.04,-70.9,21.2,12.75
28,geraldton,75.0,CA,1545595200,77.0,49.72,-86.95,5.0,6.93
29,qaanaaq,64.0,GL,1545597961,91.0,77.48,-69.36,-4.9,5.28
30,samarai,64.0,PG,1545597961,100.0,-10.62,150.67,83.04,6.33
31,new norfolk,0.0,AU,1545597000,55.0,-42.78,147.06,60.8,17.22
32,colares,0.0,PT,1545595200,87.0,38.8,-9.45,51.8,8.05
35,aviles,0.0,ES,1545595200,81.0,43.55,-5.92,51.8,2.24
36,ulladulla,0.0,AU,1545595200,87.0,-35.36,150.48,57.2,5.82
37,burkburnett,1.0,US,1545596100,53.0,34.1,-98.57,51.26,6.93
38,vaini,36.0,IN,1545597962,64.0,15.34,74.49,73.95,4.5
39,luderitz,0.0,NA,1545597709,71.0,-26.65,15.16,62.79,16.35
40,pevek,0.0,RU,1545597962,100.0,69.7,170.27,-31.4,6.33
41,katsuura,40.0,JP,1545595200,66.0,33.93,134.5,50.0,13.87
42,bonthe,0.0,SL,1545597963,63.0,7.53,-12.5,83.49,5.61
43,fare,80.0,PF,1545597963,97.0,-16.7,-151.02,83.49,14.61
44,kem,0.0,UG,1545597963,70.0,2.68,33.77,69.76,6.51
45,bluff,0.0,AU,1545597963,67.0,-23.58,149.07,68.41,14.61
46,lebu,44.0,ET,1545597963,89.0,8.96,38.73,41.91,2.98
48,kodiak,1.0,US,1545596100,14.0,39.95,-94.76,46.94,10.29
49,salinopolis,88.0,BR,1545597964,98.0,-0.61,-47.36,80.97,9.31
50,lorengau,44.0,PG,1545597964,100.0,-2.02,147.27,81.51,6.06
51,yar-sale,0.0,RU,1545597964,95.0,66.83,70.83,-15.61,21.09
52,mataura,0.0,NZ,1545597964,78.0,-46.19,168.86,60.0,4.09
53,jamestown,0.0,AU,1545597757,49.0,-33.21,138.6,60.99,5.39
54,norman wells,75.0,CA,1545595200,83.0,65.28,-126.83,-13.01,2.24
55,letlhakeng,76.0,BW,1545597965,78.0,-24.1,25.03,72.42,3.71
56,georgetown,75.0,GY,1545595200,69.0,6.8,-58.16,84.2,11.41
57,nuuk,92.0,GL,1545594600,93.0,64.17,-51.74,37.4,47.2
59,khatanga,88.0,RU,1545597965,69.0,71.98,102.47,-9.8,21.05
60,port macquarie,88.0,AU,1545595200,77.0,-31.43,152.91,60.8,6.93
61,ostrovnoy,32.0,RU,1545597966,86.0,68.05,39.51,13.29,16.06
62,port alfred,20.0,ZA,1545597966,87.0,-33.59,26.89,73.05,5.06
63,yerbogachen,20.0,RU,1545597966,56.0,61.28,108.01,-32.57,2.98
64,avarua,75.0,CK,1545595200,79.0,-21.21,-159.78,84.2,9.17
65,nikolskoye,75.0,RU,1545597000,85.0,59.7,30.79,24.8,8.95
66,meadow lake,90.0,CA,1545595200,92.0,54.13,-108.44,6.8,5.82
67,dibulla,0.0,CO,1545595200,41.0,11.27,-73.31,91.4,19.46
68,northport,75.0,US,1545594960,50.0,33.23,-87.58,68.0,12.75
69,port elizabeth,1.0,US,1545594960,51.0,39.31,-74.98,48.38,10.29
71,eirunepe,68.0,BR,1545597967,79.0,-6.66,-69.87,81.69,2.48
72,busselton,20.0,AU,1545597967,100.0,-33.64,115.35,63.42,14.94
73,alvdal,36.0,NO,1545596400,85.0,62.11,10.63,23.0,2.24
74,gobabis,8.0,NA,1545597967,54.0,-22.45,18.97,72.6,5.88
75,wamba,20.0,CD,1545597968,83.0,2.14,27.99,67.78,2.19
76,deputatskiy,24.0,RU,1545597968,0.0,69.3,139.9,-43.6,3.71
77,hilo,90.0,US,1545594780,64.0,19.71,-155.08,75.92,9.17
78,thompson,75.0,CA,1545595200,70.0,55.74,-97.86,-4.01,2.24
79,torbay,90.0,CA,1545595200,93.0,47.66,-52.73,37.4,17.22
80,barlinek,75.0,PL,1545597000,93.0,53.0,15.22,37.4,4.7
81,tortosa,8.0,ES,1545596400,93.0,40.81,0.52,46.4,3.71
82,severo-kurilsk,68.0,RU,1545597969,100.0,50.68,156.12,24.58,6.85
83,kahului,40.0,US,1545594960,64.0,20.89,-156.47,80.06,17.22
85,oksfjord,75.0,NO,1545596400,100.0,70.24,22.35,32.0,17.22
86,punta arenas,75.0,CL,1545595200,58.0,-53.16,-70.91,59.0,23.04
87,bose,90.0,IT,1545596400,100.0,45.46,8.01,44.6,3.36
88,kangaatsiaq,92.0,GL,1545597969,100.0,68.31,-53.46,19.86,19.08
90,vardo,90.0,US,1545596400,45.0,39.62,-77.74,46.4,8.05
91,sheridan,40.0,US,1545595440,12.0,39.65,-105.03,50.0,11.41
92,cidreira,44.0,BR,1545597970,82.0,-30.17,-50.22,73.95,9.86
93,gravdal,75.0,NO,1545596400,93.0,59.79,5.78,35.6,5.82
94,sao filipe,80.0,CV,1545597970,92.0,14.9,-24.5,75.93,7.63
95,coquimbo,40.0,CL,1545595200,77.0,-29.95,-71.34,64.4,13.87
96,mindelo,0.0,PT,1545595200,87.0,41.31,-8.72,51.8,5.82
97,saskylakh,56.0,RU,1545597971,65.0,71.97,114.09,-14.39,10.92
98,klaksvik,80.0,FO,1545596400,81.0,62.23,-6.59,42.8,17.22
99,celestun,20.0,MX,1545597971,95.0,20.87,-90.4,74.49,14.38
100,boyolangu,68.0,ID,1545597971,91.0,-8.09,111.9,69.99,6.4
101,farafangana,92.0,MG,1545597971,100.0,-22.82,47.83,71.97,5.99
102,guerrero negro,0.0,MX,1545597971,46.0,27.97,-114.04,73.63,7.07
103,bethel,90.0,US,1545596100,84.0,60.79,-161.76,8.96,4.7
104,port blair,20.0,IN,1545598800,100.0,11.67,92.75,77.0,2.24
105,roald,75.0,NO,1545596400,74.0,62.58,6.12,37.4,6.93
106,tuatapere,0.0,NZ,1545597972,88.0,-46.13,167.69,58.2,4.76
107,sibu,75.0,MY,1545595200,94.0,2.29,111.83,75.2,3.6
108,vidim,75.0,CZ,1545596220,93.0,50.47,14.53,41.0,6.93
109,pangody,32.0,RU,1545597973,88.0,65.85,74.49,-19.75,18.37
110,tasiilaq,92.0,GL,1545594600,86.0,65.61,-37.64,26.6,3.36
111,cockburn town,8.0,TC,1545597902,100.0,21.46,-71.14,79.89,16.28
112,kavaratti,32.0,IN,1545597973,100.0,10.57,72.64,83.4,11.25
113,upernavik,68.0,GL,1545597973,100.0,72.79,-56.15,1.59,12.33
114,dunedin,0.0,NZ,1545597720,80.0,-45.87,170.5,59.86,3.71
115,belmonte,32.0,PT,1545597974,88.0,40.36,-7.35,34.98,2.48
116,mar del plata,76.0,AR,1545597859,32.0,-46.43,-67.52,78.81,26.42
117,oxford,90.0,US,1545597300,81.0,33.61,-85.83,63.86,8.05
118,hithadhoo,0.0,MV,1545597974,100.0,-0.6,73.08,82.18,6.78
119,amahai,36.0,ID,1545597974,100.0,-3.31,129.0,82.18,7.9
120,la tiza,75.0,PE,1545595200,69.0,-12.44,-76.77,77.0,14.99
121,mayumba,68.0,GA,1545597974,95.0,-3.44,10.65,79.03,5.06
123,clyde river,20.0,CA,1545595200,83.0,70.47,-68.59,-13.01,8.05
124,iqaluit,75.0,CA,1545595920,68.0,63.75,-68.52,-14.81,20.8
125,namibe,20.0,AO,1545597975,100.0,-15.19,12.15,73.36,5.32
126,diamantino,56.0,BR,1545597975,86.0,-14.4,-56.44,79.8,3.2
127,artyshta,24.0,RU,1545597975,74.0,54.12,86.29,-7.19,6.55
128,bredasdorp,12.0,ZA,1545595200,82.0,-34.53,20.04,68.0,3.38
129,saint-philippe,1.0,CA,1545597300,67.0,45.36,-73.48,21.38,3.36
130,kruisfontein,76.0,ZA,1545597975,94.0,-34.0,24.73,68.23,15.84
131,monrovia,75.0,LR,1545595200,94.0,6.33,-10.8,78.8,7.0
132,zalantun,24.0,CN,1545597976,60.0,48.0,122.72,-7.37,2.53
133,sitka,8.0,US,1545597976,41.0,37.17,-99.65,49.29,9.35
134,vaitape,88.0,PF,1545597976,97.0,-16.52,-151.75,83.76,15.46
135,guane,0.0,CU,1545597976,57.0,22.2,-84.09,77.23,5.55
136,ambovombe,0.0,MG,1545597976,97.0,-25.18,46.09,69.58,6.78
137,barrow,0.0,AR,1545597976,24.0,-38.31,-60.23,95.01,14.56
138,east london,0.0,ZA,1545597977,96.0,-33.02,27.91,74.94,24.9
139,montesarchio,40.0,IT,1545596400,82.0,41.06,14.64,59.0,3.36
140,kisarawe,12.0,TZ,1545597977,96.0,-6.9,39.07,72.46,2.37
141,carros,8.0,FR,1545597977,66.0,43.78,7.19,33.63,1.48
142,ponta do sol,64.0,BR,1545597977,87.0,-20.63,-46.0,75.57,5.77
143,vestmannaeyjar,92.0,IS,1545597977,100.0,63.44,-20.27,42.13,19.82
144,esperance,40.0,TT,1545595200,66.0,10.24,-61.45,84.2,11.41
145,dingle,76.0,PH,1545597978,97.0,11.0,122.67,74.04,6.11
146,san rafael,0.0,AR,1545597978,18.0,-34.61,-68.33,92.98,8.23
147,nanortalik,92.0,GL,1545597781,94.0,60.14,-45.24,34.26,19.86
148,vila franca do campo,40.0,PT,1545595200,87.0,37.72,-25.43,60.8,9.17
149,ankang,88.0,CN,1545597978,91.0,32.73,108.99,31.15,2.19
151,constitucion,75.0,MX,1545594420,8.0,23.99,-104.67,68.0,4.54
152,saint george,20.0,GR,1545594600,93.0,39.45,22.34,44.6,0.96
154,alanya,40.0,TR,1545594600,100.0,36.55,32.0,50.0,5.82
156,auki,0.0,NG,1545597979,37.0,12.18,6.51,63.91,9.91
157,rio grande,75.0,BR,1545595200,69.0,-32.03,-52.1,75.2,13.87
158,kalevala,88.0,FI,1545597980,85.0,64.12,29.58,6.72,2.53
159,bandarbeyla,0.0,SO,1545597980,100.0,9.49,50.81,78.09,23.55
160,thunder bay,90.0,CA,1545595200,85.0,48.41,-89.26,24.8,12.75
161,pangnirtung,20.0,CA,1545595200,49.0,66.15,-65.72,1.4,5.82
163,sur,44.0,OM,1545597980,100.0,22.57,59.53,68.86,1.86
164,carutapera,88.0,BR,1545597980,83.0,-1.2,-46.02,81.15,5.77
165,bathsheba,20.0,BB,1545595200,61.0,13.22,-59.52,82.4,17.22
166,bokovskaya,92.0,RU,1545597980,95.0,49.23,41.83,37.45,12.77
167,neyshabur,64.0,IR,1545597981,87.0,36.21,58.79,25.48,1.52
168,walvis bay,0.0,NA,1545595200,68.0,-22.95,14.51,68.0,4.7
169,flagstaff,1.0,US,1545597300,26.0,35.2,-111.65,60.8,5.82
170,necochea,12.0,AR,1545597981,49.0,-38.55,-58.74,85.15,9.24
171,russell,32.0,AR,1545597981,42.0,-33.01,-68.8,78.72,3.31
172,hamilton,40.0,BM,1545594900,68.0,32.3,-64.78,68.0,8.05
173,kortkeros,75.0,RU,1545597000,84.0,61.81,51.56,-2.21,2.24
174,lompoc,1.0,US,1545596100,62.0,34.64,-120.46,62.6,4.7
175,kieta,92.0,PG,1545597982,100.0,-6.22,155.63,78.31,1.59
176,kulhudhuffushi,68.0,MV,1545597982,100.0,6.62,73.07,82.36,8.79
178,maragogi,92.0,BR,1545597983,83.0,-9.01,-35.22,79.66,10.42
179,butaritari,32.0,KI,1545597503,100.0,3.07,172.79,83.22,8.57
180,salta,75.0,AR,1545595200,73.0,-24.79,-65.41,77.0,8.05
181,iguape,92.0,BR,1545597983,93.0,-24.7,-47.56,79.93,13.44
182,kaitangata,0.0,NZ,1545597983,78.0,-46.28,169.85,59.68,4.27
183,ambon,90.0,FR,1545595200,100.0,47.55,-2.56,53.6,8.05
184,nishihara,1.0,JP,1545595200,95.0,35.74,139.53,51.8,7.11
185,san patricio,0.0,PY,1545597984,67.0,-26.98,-56.83,83.26,4.99
186,mount gambier,0.0,AU,1545595200,100.0,-37.83,140.78,53.6,3.36
187,lagoa,0.0,PT,1545595200,93.0,37.14,-8.45,55.4,6.93
188,sibolga,100.0,ID,1545597984,100.0,1.74,98.78,69.99,1.03
190,egvekinot,20.0,RU,1545597984,47.0,66.32,-179.17,-29.83,3.53
191,jablah,92.0,SY,1545597985,100.0,35.36,35.93,55.36,10.54
192,axim,0.0,GH,1545597985,96.0,4.87,-2.24,84.16,9.31
193,juneau,90.0,US,1545594960,69.0,58.3,-134.42,35.96,4.7
194,aklavik,75.0,CA,1545595920,83.0,68.22,-135.01,-4.01,5.82
195,sabnova,0.0,RU,1545597985,72.0,42.07,48.25,21.66,1.36
196,shimoda,0.0,JP,1545597985,100.0,34.7,138.93,57.16,10.87
197,vila do maio,0.0,CV,1545595200,57.0,15.13,-23.22,77.0,5.82
198,sargatskoye,0.0,RU,1545597986,69.0,55.6,73.49,-22.94,8.01
200,mandera,0.0,ET,1545597986,45.0,3.94,41.86,72.73,4.21
201,mahebourg,40.0,MU,1545595200,88.0,-20.41,57.7,77.0,3.36
202,krasnaya gora,90.0,RU,1545595200,86.0,53.01,31.6,30.2,15.66
203,manzhouli,0.0,CN,1545597986,59.0,49.6,117.43,-14.17,3.31
204,talas,75.0,TR,1545596400,65.0,38.69,35.55,41.0,6.93
205,pacific grove,1.0,US,1545596100,55.0,36.62,-121.92,59.0,4.7
206,saldanha,12.0,PT,1545597987,87.0,41.42,-6.55,32.55,2.48
207,coahuayana,0.0,MX,1545597987,29.0,18.62,-100.35,80.56,3.09
208,yulara,0.0,AU,1545595200,22.0,-25.24,130.99,64.4,6.93
209,mecca,0.0,SA,1545597782,90.0,21.43,39.83,62.83,2.71
210,san policarpo,88.0,PH,1545597987,100.0,12.18,125.51,77.55,5.55
211,salem,90.0,US,1545594960,85.0,44.94,-123.03,51.08,6.93
212,cayenne,90.0,GF,1545597000,78.0,4.94,-52.33,80.6,11.41
213,zhoucheng,0.0,CN,1545595200,100.0,31.35,119.33,35.6,2.24
214,praia da vitoria,20.0,PT,1545595200,100.0,38.73,-27.07,55.4,14.56
215,hailar,12.0,CN,1545597990,63.0,49.2,119.7,-9.49,11.54
216,salisbury,90.0,GB,1545596460,100.0,51.07,-1.8,53.6,6.93
217,salekhard,8.0,RU,1545597990,36.0,66.54,66.62,-23.75,13.94
218,ambilobe,80.0,MG,1545597990,96.0,-13.19,49.05,74.13,7.78
220,jumla,0.0,NP,1545597990,58.0,29.28,82.18,2.26,1.36
221,bonavista,92.0,CA,1545597991,90.0,48.65,-53.11,37.86,16.8
222,pathein,0.0,MM,1545597991,92.0,16.78,94.73,71.2,5.06
223,codrington,75.0,AU,1545595200,93.0,-28.95,153.24,68.0,4.27
224,sokol,80.0,RU,1545597991,82.0,59.46,40.11,11.67,10.36
225,provideniya,90.0,RU,1545597000,77.0,64.42,-173.23,1.4,11.18
226,churapcha,36.0,RU,1545597991,71.0,62.0,132.43,-24.2,2.75
228,luoyang,44.0,CN,1545597992,68.0,34.66,112.42,24.4,2.86
229,cabo san lucas,75.0,MX,1545594120,41.0,22.89,-109.91,80.6,2.24
230,saint-pierre,90.0,FR,1545595200,100.0,48.95,4.24,55.4,21.92
231,northam,75.0,GB,1545596400,93.0,51.04,-4.21,53.6,3.36
232,cusco,75.0,PE,1545597000,40.0,-13.52,-71.98,68.0,10.29
233,sortavala,92.0,RU,1545597993,95.0,61.7,30.69,16.98,5.73
234,touros,40.0,BR,1545595200,78.0,-5.2,-35.46,82.4,16.11
236,carnarvon,0.0,ZA,1545597993,27.0,-30.97,22.13,75.7,14.56
238,richards bay,76.0,ZA,1545597993,83.0,-28.77,32.06,71.83,10.8
239,leh,64.0,IN,1545597993,53.0,34.16,77.58,-10.66,1.86
240,alofi,75.0,NU,1545595200,74.0,-19.06,-169.92,84.2,19.46
241,farkhor,90.0,TJ,1545597000,80.0,37.49,69.4,32.0,2.24
242,ranong,0.0,TH,1545597994,100.0,9.96,98.62,79.75,5.06
243,obidos,0.0,PT,1545595200,76.0,39.36,-9.16,53.6,11.41
244,sawakin,100.0,SD,1545597994,84.0,19.1,37.33,75.25,6.4
245,nelson bay,80.0,AU,1545597000,77.0,-32.72,152.14,62.6,6.93
246,qujing,0.0,CN,1545597994,86.0,25.49,103.8,38.71,6.73
248,acapulco,5.0,MX,1545594000,51.0,16.86,-99.88,86.0,4.7
249,mukhen,48.0,RU,1545597995,60.0,48.19,136.14,1.14,8.63
250,chuy,0.0,UY,1545597995,84.0,-33.69,-53.46,69.85,11.25
251,hambantota,24.0,LK,1545597995,100.0,6.12,81.12,78.0,7.07
252,dikson,80.0,RU,1545597995,94.0,73.51,80.55,25.53,31.94
253,lima,75.0,PE,1545595200,69.0,-12.06,-77.04,77.0,14.99
254,gamba,0.0,CN,1545597996,38.0,28.28,88.52,-15.7,5.28
255,tuktoyaktuk,90.0,CA,1545595200,83.0,69.44,-133.03,-5.81,3.36
256,fenoarivo,40.0,MG,1545597000,82.0,-18.93,47.44,68.0,3.36
257,susanville,1.0,US,1545594900,93.0,40.42,-120.65,37.4,3.36
258,almaznyy,90.0,RU,1545597000,100.0,48.03,40.04,37.4,17.9
259,erzin,0.0,TR,1545596400,87.0,36.95,36.2,48.2,4.7
260,avera,1.0,US,1545597300,52.0,33.19,-82.53,66.2,10.29
261,kysyl-syr,64.0,RU,1545597996,33.0,63.9,122.77,-22.85,7.0
262,margate,0.0,AU,1545597000,55.0,-43.03,147.26,60.8,17.22
263,nemuro,64.0,JP,1545597997,100.0,43.32,145.57,35.16,22.06
264,ilulissat,90.0,GL,1545594600,85.0,69.22,-51.1,17.6,21.92
265,tignere,8.0,CM,1545597997,50.0,7.37,12.65,60.58,6.06
266,lavrentiya,48.0,RU,1545597997,100.0,65.58,-170.99,7.98,17.07
269,cherskiy,44.0,RU,1545597997,62.0,68.75,161.3,-34.1,2.82
270,kargopol,88.0,RU,1545597997,83.0,61.51,38.95,7.48,7.85
271,rocha,0.0,UY,1545597966,45.0,-34.48,-54.34,76.15,9.08
272,tubmanburg,0.0,LR,1545597998,69.0,6.87,-10.82,79.08,7.0
273,jiazi,75.0,CN,1545595200,94.0,19.61,110.49,68.0,8.95
274,ridgecrest,1.0,US,1545594960,32.0,35.62,-117.67,57.92,4.7
275,haines junction,64.0,CA,1545597998,81.0,60.75,-137.51,-4.36,2.75
276,ahipara,92.0,NZ,1545597998,99.0,-35.17,173.16,66.3,10.92
277,ventspils,88.0,LV,1545596400,100.0,57.39,21.56,23.0,9.08
278,mahanoro,36.0,MG,1545597999,100.0,-19.9,48.8,69.72,2.3
279,palmer,0.0,AU,1545597000,63.0,-34.85,139.16,62.6,3.36
280,peniche,0.0,PT,1545595200,76.0,39.36,-9.38,53.6,11.41
281,narsaq,92.0,GL,1545597999,98.0,60.91,-46.05,30.25,8.79
282,ojinaga,1.0,US,1545596100,19.0,29.56,-104.41,68.0,6.93
283,menongue,12.0,AO,1545597999,66.0,-14.66,17.68,72.28,4.88
284,hinton,56.0,CA,1545598000,70.0,53.4,-117.57,19.0,0.96
285,port lincoln,0.0,AU,1545598000,91.0,-34.72,135.86,64.36,11.59
286,xuddur,0.0,SO,1545598000,55.0,4.12,43.89,74.67,11.36
287,gazojak,20.0,TM,1545598000,85.0,41.19,61.4,9.42,4.05
288,anadyr,8.0,RU,1545597000,75.0,64.73,177.51,-18.41,8.95
291,nsanje,76.0,MZ,1545598000,97.0,-16.92,35.26,73.32,5.06
292,komsomolskiy,48.0,RU,1545598001,81.0,67.55,63.78,3.93,18.14
293,boa vista,40.0,BR,1545595200,55.0,2.82,-60.67,86.0,19.46
294,mae ramat,0.0,TH,1545598002,74.0,16.98,98.52,67.83,1.97
295,maniitsoq,92.0,GL,1545598002,98.0,65.42,-52.9,33.31,26.24
297,sayyan,0.0,YE,1545598002,73.0,15.17,44.32,29.58,2.37
298,hanzhong,92.0,CN,1545598002,97.0,33.08,107.03,31.78,2.08
299,longyearbyen,75.0,NO,1545594600,65.0,78.22,15.63,6.8,8.05
300,mandalgovi,0.0,MN,1545598002,47.0,45.76,106.27,-5.44,12.15
301,tezu,0.0,IN,1545598003,60.0,27.93,96.16,50.73,1.97
302,marsh harbour,0.0,BS,1545598003,100.0,26.54,-77.06,72.06,6.62
303,kuryk,64.0,KZ,1545598003,100.0,43.18,51.68,31.74,16.28
304,san ramon,40.0,NI,1545595200,60.0,12.92,-85.84,75.2,11.41
305,broome,40.0,GB,1545596400,93.0,52.47,1.45,44.6,5.82
